name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Hathol,,,,Human,F.A. 365,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hathol,,ObjectId(5cd99d4bde30eff6ebccfd51)
Handir,,,,Human,FA 441,FA 495,,,,,,Brethil,Beldis,,,http://lotr.wikia.com//wiki/Handir,,ObjectId(5cd99d4bde30eff6ebccfd52)
Henderch,,,,Human,"Early ,Second Age",unknown,Male,,,,,,,,,http://lotr.wikia.com//wiki/Henderch,,ObjectId(5cd99d4bde30eff6ebccfd53)
Herefara,,,,Human,"Late-,Third Age","March 15 ,3019",Male,,,Gray,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Herefara,,ObjectId(5cd99d4bde30eff6ebccfd54)
Hendor,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hendor,,ObjectId(5cd99d4bde30eff6ebccfd55)
Herion,,,,Human,TA 2037,TA 2148,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Herion,,ObjectId(5cd99d4bde30eff6ebccfd56)
Herubrand,,,,Human,"Late-,Third Age","March 15 ,3019",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Herubrand,,ObjectId(5cd99d4bde30eff6ebccfd57)
Herucalmo,,,,Human,SA 2286,SA 2657,Male,,,,,,Tar-Vanimeldë,,,http://lotr.wikia.com//wiki/Herucalmo,,ObjectId(5cd99d4bde30eff6ebccfd58)
Hirgon,,,,Human,"Late ,Third Age",TA 3019,Male,,,,Tall,,,,,http://lotr.wikia.com//wiki/Hirgon,,ObjectId(5cd99d4bde30eff6ebccfd59)
Hirluin,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,Tall,,,,,http://lotr.wikia.com//wiki/Hirluin,,ObjectId(5cd99d4bde30eff6ebccfd5a)
Hob Gammidge,,,,Hobbit,TA 2846,,Male,,,,,,Rowan,,,http://lotr.wikia.com//wiki/Hob_Gammidge,,ObjectId(5cd99d4bde30eff6ebccfd5b)
Hob Hayward,,,,Hobbit,"Late ,Third Age",,Male,,,,,Shire,,,,http://lotr.wikia.com//wiki/Hob_Hayward,,ObjectId(5cd99d4bde30eff6ebccfd5c)
Tobias Hornblower,,,,Hobbit,"Late ,Third Age","Late ,TA 3018",Male,,,,,Shire,,,,http://lotr.wikia.com//wiki/Tobias_Hornblower,,ObjectId(5cd99d4bde30eff6ebccfd5d)
Holfast Gardner,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Holfast_Gardner,,ObjectId(5cd99d4bde30eff6ebccfd5e)
Horn,,,,Human,"Possibly late ,Third Age","March 15 ,TA 3019",Male,,,Blond (Video game),,,,,,http://lotr.wikia.com//wiki/Horn,,ObjectId(5cd99d4bde30eff6ebccfd5f)
Hundad,,,,Human,"Mid ,FA",Mid FA,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hundad,,ObjectId(5cd99d4bde30eff6ebccfd60)
Hundar,,,,Human,"Late ,First Age",FA 473,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hundar,,ObjectId(5cd99d4bde30eff6ebccfd61)
Hunthor,,,,Human,"Late ,FA",FA 499,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Hunthor,,ObjectId(5cd99d4bde30eff6ebccfd62)
Huor,,,,Human,FA 442,FA 473,Male,,,Golden,Tallest of all mortal men save his son Tuor only,,Rían,,,http://lotr.wikia.com//wiki/Huor,,ObjectId(5cd99d4bde30eff6ebccfd63)
Hyarmendacil I,,,,Human,TA 899,TA 1149,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Hyarmendacil_I,,ObjectId(5cd99d4bde30eff6ebccfd64)
Hyarmendacil II,,,,Human,TA 1391,TA 1621,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Hyarmendacil_II,,ObjectId(5cd99d4bde30eff6ebccfd65)
Háma,,,,Human,TA 2975,"March 3, or ,4 ,3019",Male,,,Reddish brown (movie),,,"Unknown, possibly none",,,http://lotr.wikia.com//wiki/H%C3%A1ma,,ObjectId(5cd99d4bde30eff6ebccfd66)
Húrin II,,,,Human,TA 2515,TA 2628,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/H%C3%BArin_II,,ObjectId(5cd99d4bde30eff6ebccfd67)
Háma (Helm's son),,,,Human,"Late ,Third Age","Winter of ,TA 2759",Male,,,,,,,,,http://lotr.wikia.com//wiki/H%C3%A1ma_(Helm%27s_son),,ObjectId(5cd99d4bde30eff6ebccfd68)
Húrin of Emyn Arnen,,,,Human,"Mid-,Third Age","Mid-,Third Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/H%C3%BArin_of_Emyn_Arnen,,ObjectId(5cd99d4bde30eff6ebccfd69)
Húrin,,,,Human,FA 441,FA 502,Male,,,"Golden, grey (in old age)",,,Morwen Eledhwen,,,http://lotr.wikia.com//wiki/H%C3%BArin,,ObjectId(5cd99d4bde30eff6ebccfd6a)
Imin,,,,Elf,"Unknown, Awakened in the ,Years of the Trees",,Male,,,,,,Iminyë,,,http://lotr.wikia.com//wiki/Imin,,ObjectId(5cd99d4bde30eff6ebccfd6b)
Iminyë,,,,Elf,"Unknown, Awakened in the ,Years of the Trees",,Female,,,,,,Imin,,,http://lotr.wikia.com//wiki/Iminy%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd6c)
Imlach,,,,Human,around FA 325,First Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Imlach,,ObjectId(5cd99d4bde30eff6ebccfd6d)
Imrahil,,,,Human,TA 2955,FO 34,Male,,,Black,Tall,,Unnamed wife,,,http://lotr.wikia.com//wiki/Imrahil,,ObjectId(5cd99d4bde30eff6ebccfd6e)
Imrazôr,,,,Human,TA 1950,TA 2076,Male,,,,,,Mithrellas,,,http://lotr.wikia.com//wiki/Imraz%C3%B4r,,ObjectId(5cd99d4bde30eff6ebccfd6f)
Idril,,,,Elf,YT 1469,Still Alive,Female,,,Golden,Tall,,Tuor,,,http://lotr.wikia.com//wiki/Idril,,ObjectId(5cd99d4bde30eff6ebccfd70)
Ibûn,,,,Dwarf,,FA 489,Male,,,,,,"Unknown, possibly none",,,http://lotr.wikia.com//wiki/Ib%C3%BBn,,ObjectId(5cd99d4bde30eff6ebccfd71)
Indis,,,,Elf,,Still Alive,Female,,,Golden,Tall,Tirion,Finwë,,,http://lotr.wikia.com//wiki/Indis,,ObjectId(5cd99d4bde30eff6ebccfd72)
Húrin I,,,,Human,TA 2124,TA 2244,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/H%C3%BArin_I,,ObjectId(5cd99d4bde30eff6ebccfd73)
Ingwë,,,,Elf,"YT, and perhaps firstborn",Still Alive,Male,,,Probably Golden,Tall,"Valinor,Taniquetil",Unnamed wife,,,http://lotr.wikia.com//wiki/Ingw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd74)
Inzilbêth,,,,Human,"Late ,Second Age",,Female,,,,,,Ar-Gimilzôr,,,http://lotr.wikia.com//wiki/Inzilb%C3%AAth,,ObjectId(5cd99d4bde30eff6ebccfd75)
Ioreth,,,,Human,"Late ,Third Age",,Female,,,,,,,,,http://lotr.wikia.com//wiki/Ioreth,,ObjectId(5cd99d4bde30eff6ebccfd76)
Iorlas,,,,Human,"b. ,TA 2990","Early-,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Iorlas,,ObjectId(5cd99d4bde30eff6ebccfd77)
Isembold Took,,,,Hobbit,TA 2842,TA 2946,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Isembold_Took,,ObjectId(5cd99d4bde30eff6ebccfd78)
Ingold,,,,Human,"Late ,Third Age","Early ,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Ingold,,ObjectId(5cd99d4bde30eff6ebccfd79)
Isengrim Took III,,,,Hobbit,TA 2832,TA 2930,Male,,,,,,Not married,,,http://lotr.wikia.com//wiki/Isengrim_Took_III,,ObjectId(5cd99d4bde30eff6ebccfd7a)
Indor,,,,Human,"Mid ,First Age",FA 495,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Indor,,ObjectId(5cd99d4bde30eff6ebccfd7b)
Ingwion,,,,Elf,YT,"Unknown, probably still alive",Male,,,Probably Golden,,,,,,http://lotr.wikia.com//wiki/Ingwion,,ObjectId(5cd99d4bde30eff6ebccfd7c)
Isilmo,,,,Human,"After ,SA 1320","Before ,SA 1731",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Isilmo,,ObjectId(5cd99d4bde30eff6ebccfd7d)
Ivriniel,,,,Human,TA 2947,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Ivriniel,,ObjectId(5cd99d4bde30eff6ebccfd7e)
Lalaith,,,,Human,FA 466,FA 469,Female,,,Blonde,,,,,,http://lotr.wikia.com//wiki/Lalaith,,ObjectId(5cd99d4bde30eff6ebccfd7f)
Larnach,,,,Human,"Late ,First Age",,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Larnach,,ObjectId(5cd99d4bde30eff6ebccfd80)
Legolas,,,,Elf,,"Still alive, departed to ,Aman ,FO 120",Male,,,"Uncertain (book), Blonde (films)",,,,,,http://lotr.wikia.com//wiki/Legolas,,ObjectId(5cd99d4bde30eff6ebccfd81)
Isildur,,,,Human,SA 3209,TA 2,Male,,,Black,Very tall almost 7'1,"Arnor,Gondor",Unnamed wife,,,http://lotr.wikia.com//wiki/Isildur,,ObjectId(5cd99d4bde30eff6ebccfd82)
Lindir,,,,Elf,,"Possibly departed to ,Aman",Male,,,Brown (films),Tall,,,,,http://lotr.wikia.com//wiki/Lindir,,ObjectId(5cd99d4bde30eff6ebccfd83)
Lindissë,,,,Human,SA 551,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Lindiss%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd84)
Isilmë,,,,Human,SA 532,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Isilm%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd85)
Lindo,,,,Elf,YT,,Male,,,,,,Vairë,,,http://lotr.wikia.com//wiki/Lindo,,ObjectId(5cd99d4bde30eff6ebccfd86)
Ivorwen,,,,Human,TA 2857,TA 2929,Female,,,Brown (film),,,Dírhael,,,http://lotr.wikia.com//wiki/Ivorwen,,ObjectId(5cd99d4bde30eff6ebccfd87)
Lindórië,,,,Human,"Late ,Second Age",Late Second Age,Female,,,,,,Unknown husband,,,http://lotr.wikia.com//wiki/Lind%C3%B3ri%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd88)
Lenwë,,,,Elf,YT,YT (possibly),Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Lenw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfd89)
Lorgan,,,,Human,"Late ,First Age",Late First Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/Lorgan,,ObjectId(5cd99d4bde30eff6ebccfd8a)
Lothíriel,,,,Human,TA 2999,,Female,,,,,Rohan,omer,,,http://lotr.wikia.com//wiki/Loth%C3%ADriel,,ObjectId(5cd99d4bde30eff6ebccfd8b)
Léod,,,,Human,TA 2459,TA 2501,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/L%C3%A9od,,ObjectId(5cd99d4bde30eff6ebccfd8c)
Brytta Léofa,,,,Human,TA 2752,TA 2842,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Brytta_L%C3%A9ofa,,ObjectId(5cd99d4bde30eff6ebccfd8d)
Lóni,,,,Dwarf,"Late ,Third Age",TA 2994,Male,,,,,,,,,http://lotr.wikia.com//wiki/L%C3%B3ni,,ObjectId(5cd99d4bde30eff6ebccfd8e)
Lúthien,,,,Elf,YT 1200,FA 503,Female,,,Black,,,Beren Erchamion,,,http://lotr.wikia.com//wiki/L%C3%BAthien,,ObjectId(5cd99d4bde30eff6ebccfd8f)
Farmer Maggot,,,,Hobbit,TA 2948,,Male,,,Brown,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Farmer_Maggot,,ObjectId(5cd99d4bde30eff6ebccfd90)
Mablung the Ranger,,,,Human,"Late ,Third Age",,Male,,,Dark,Tall,,,,,http://lotr.wikia.com//wiki/Mablung_the_Ranger,,ObjectId(5cd99d4bde30eff6ebccfd91)
Maglor,,,,Elf,"During the ,Noontide of Valinor",Fate unknown,Male,,,Dark,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Maglor,,ObjectId(5cd99d4bde30eff6ebccfd92)
Maedhros,,,,Elf,"During the ,Noontide of Valinor",FA 587,Male,,,Dark red,Tall,,None,,,http://lotr.wikia.com//wiki/Maedhros,,ObjectId(5cd99d4bde30eff6ebccfd93)
Mahtan,,,,Elf,UnknownYT,Still alive,Male,,,Brown with copperlike-red,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Mahtan,,ObjectId(5cd99d4bde30eff6ebccfd94)
Magor,,,,Human,F.A. 341,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Magor,,ObjectId(5cd99d4bde30eff6ebccfd95)
Mairen,,,,Human,SA 377,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Mairen,,ObjectId(5cd99d4bde30eff6ebccfd96)
Malach,,,,Human,FA 307,FA 398,Male,,,,,,Meldis,,,http://lotr.wikia.com//wiki/Malach,,ObjectId(5cd99d4bde30eff6ebccfd97)
Maeglin,,,,Elf,FA 320,FA 510,Male,,,Black,Tall,,None,,,http://lotr.wikia.com//wiki/Maeglin,,ObjectId(5cd99d4bde30eff6ebccfd98)
Malvegil,,,,Human,TA 1144,TA 1349,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Malvegil,,ObjectId(5cd99d4bde30eff6ebccfd99)
Manthor,,,,Human,"Late ,First Age",Late First Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/Manthor,,ObjectId(5cd99d4bde30eff6ebccfd9a)
Manwendil,,,,Human,"After ,SA 61","Early ,Second Age",Male,,,,,,Possible unnamed wife,,,http://lotr.wikia.com//wiki/Manwendil,,ObjectId(5cd99d4bde30eff6ebccfd9b)
Malva Headstrong Brandybuck,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Malva_%22Headstrong%22_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfd9c)
Mallor,,,,Human,TA 895,TA 1110,Male,,,,,"Arthedain,Arnor",Unnamed wife,,,http://lotr.wikia.com//wiki/Mallor,,ObjectId(5cd99d4bde30eff6ebccfd9d)
Marach,,,,Human,FA 282,FA 376,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Marach,,ObjectId(5cd99d4bde30eff6ebccfd9e)
Marcho,,,,Hobbit,TA 1557,"Sometime after ,TA 1601",Male,,,,,,,,,http://lotr.wikia.com//wiki/Marcho,,ObjectId(5cd99d4bde30eff6ebccfd9f)
Mardil Voronwë,,,,Human,TA 1960,TA 2080,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Mardil_Voronw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfda0)
Malbeth the Seer,,,,Human,"Mid ,Third Age",Mid Third Age,Male,,,"Dark, later grey",,,"Unknown, possible none",,,http://lotr.wikia.com//wiki/Malbeth_the_Seer,,ObjectId(5cd99d4bde30eff6ebccfda1)
Marhwini,,,,Human,"Mid-,Third Age",Mid-Third Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Marhwini,,ObjectId(5cd99d4bde30eff6ebccfda2)
Marmadas Brandybuck,,,,Hobbit,SR 1343,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Marmadas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfda3)
Master of Laketown,,,,Human,TA 2890,TA 2941,Male,,,Auburn (film),"Tall (6'4"")",Lake-town,,,,http://lotr.wikia.com//wiki/Master_of_Laketown,,ObjectId(5cd99d4bde30eff6ebccfda4)
Meneldil,,,,Human,SA 3318,TA 158,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Meneldil,,ObjectId(5cd99d4bde30eff6ebccfda5)
Meleth,,,,Human,Around FA 450,,Female,,,,,,Agathor,,,http://lotr.wikia.com//wiki/Meleth,,ObjectId(5cd99d4bde30eff6ebccfda6)
Meril-i-Turinqi,,,,Elf,YT,"Unknown, presumably still alive",Female,,,,,Tol Eressëa,,,,http://lotr.wikia.com//wiki/Meril-i-Turinqi,,ObjectId(5cd99d4bde30eff6ebccfda7)
Merimas Brandybuck,,,,Hobbit,SR 1381,"Early-,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Merimas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfda8)
Minohtar,,,,Human,"Mid ,Third Age","July 13 ,1944",Male,,,,,,,,,http://lotr.wikia.com//wiki/Minohtar,,ObjectId(5cd99d4bde30eff6ebccfda9)
Marroc Brandybuck,,,,Hobbit,SR 1182,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Marroc_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfdaa)
Marhari,,,,Human,"Mid ,Third Age",TA 1856,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Marhari,,ObjectId(5cd99d4bde30eff6ebccfdab)
Minardil,,,,Human,TA 1454,TA 1634,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Minardil,,ObjectId(5cd99d4bde30eff6ebccfdac)
Mithrellas,,,,Elf,,,Female,,,,,,Imrazôr,,,http://lotr.wikia.com//wiki/Mithrellas,,ObjectId(5cd99d4bde30eff6ebccfdad)
Morwen,,,,Human,FA 443,FA 500,Female,,,"Dark, grey in old age",Tall,,Húrin Thalion,,,http://lotr.wikia.com//wiki/Morwen,,ObjectId(5cd99d4bde30eff6ebccfdae)
Morwen (Gondor),,,,Human,"Late 26th century ,Third Age","Late ,Third Age",Female,,,,,,Unnamed husband,,,http://lotr.wikia.com//wiki/Morwen_(Gondor),,ObjectId(5cd99d4bde30eff6ebccfdaf)
Morwë,,,,Elf,"Perhaps ,Firstborn",,,,,,,,,,,http://lotr.wikia.com//wiki/Morw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfdb0)
Míriel,,,,Elf,,YT 1170,Female,,,Silver,,,Finwë,,,http://lotr.wikia.com//wiki/M%C3%ADriel,,ObjectId(5cd99d4bde30eff6ebccfdb1)
Mîm,,,,Dwarf,"Early ,First Age",FA 502,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/M%C3%AEm,,ObjectId(5cd99d4bde30eff6ebccfdb2)
Narmacil I,,,,Human,TA 1049,TA 1294,Male,,,,,Gondor,"Unknown, possibly none as he had no children",,,http://lotr.wikia.com//wiki/Narmacil_I,,ObjectId(5cd99d4bde30eff6ebccfdb3)
Nessanië,,,,Human,SA 840,"Mid ,Second Age",Female,,,,,,,,,http://lotr.wikia.com//wiki/Nessani%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfdb4)
Nimrodel,,,,Elf,YT,TA 1981,Female,,,Possibly golden,,,"Loved ,Amroth",,,http://lotr.wikia.com//wiki/Nimrodel,,ObjectId(5cd99d4bde30eff6ebccfdb5)
Nerdanel,,,,Elf,"YT, during the ,Noontide of Valinor",Still alive,Female,,,Reddish brown,,,Fëanor,,,http://lotr.wikia.com//wiki/Nerdanel,,ObjectId(5cd99d4bde30eff6ebccfdb6)
Naugladur,,,,Dwarf,,FA 503,Male,,,,,,,,,http://lotr.wikia.com//wiki/Naugladur,,ObjectId(5cd99d4bde30eff6ebccfdb7)
Nina Lightfoot,,,,Hobbit,SR 1261,,Female,,,,,Shire,Theobald Bolger,,,http://lotr.wikia.com//wiki/Nina_Lightfoot,,ObjectId(5cd99d4bde30eff6ebccfdb8)
Nolondil,,,,Human,SA 222,"Early ,Second Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Nolondil,,ObjectId(5cd99d4bde30eff6ebccfdb9)
Niënor,,,,Human,FA 473,FA 499,Female,,,Golden,Tall,,Túrin Turambar,,,http://lotr.wikia.com//wiki/Ni%C3%ABnor,,ObjectId(5cd99d4bde30eff6ebccfdba)
Nob,,,,Hobbit,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Nob,,ObjectId(5cd99d4bde30eff6ebccfdbb)
Narmacil II,,,,Human,TA 1684,TA 1856,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Narmacil_II,,ObjectId(5cd99d4bde30eff6ebccfdbc)
Náin I,,,,Dwarf,TA 1832,TA 1981,Male,,,,,Khazad-dûm,Unnamed wife,,,http://lotr.wikia.com//wiki/N%C3%A1in_I,,ObjectId(5cd99d4bde30eff6ebccfdbd)
Náin II,,,,Dwarf,TA 2338,TA 2585,Male,,,,,Grey Mountains,Unnamed wife,,,http://lotr.wikia.com//wiki/N%C3%A1in_II,,ObjectId(5cd99d4bde30eff6ebccfdbe)
Náli,,,,Dwarf,"Late ,Third Age",TA 2994,Male,,,,,,,,,http://lotr.wikia.com//wiki/N%C3%A1li,,ObjectId(5cd99d4bde30eff6ebccfdbf)
Nár,,,,Dwarf,"Late ,Third Age",Late Third Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/N%C3%A1r,,ObjectId(5cd99d4bde30eff6ebccfdc0)
Númendil,,,,Human,Late Second Age,SA 3065,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/N%C3%BAmendil,,ObjectId(5cd99d4bde30eff6ebccfdc1)
Núneth,,,,Human,"Early ,Second Age",,Female,,,,,,Beregar,,,http://lotr.wikia.com//wiki/N%C3%BAneth,,ObjectId(5cd99d4bde30eff6ebccfdc2)
Nurwë,,,,Elf,"Perhaps ,Firstborn",,,,,,,,,,,http://lotr.wikia.com//wiki/Nurw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfdc3)
Nori,,,,Dwarf,TA 2837,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Nori,,ObjectId(5cd99d4bde30eff6ebccfdc4)
Náin (father of Dáin II Ironfoot),,,,Dwarf,TA 2665,TA 2799,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/N%C3%A1in_(father_of_D%C3%A1in_II_Ironfoot),,ObjectId(5cd99d4bde30eff6ebccfdc5)
Old Noakes,,,,Hobbit,TA 2923,"Early ,Fourth Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Old_Noakes,,ObjectId(5cd99d4bde30eff6ebccfdc6)
Olwë,,,,Elf,Possibly Firstborn,Still Alive,Male,,,Silver,,"Tol Eressëa,Alqualondë",Unnamed Wife,,,http://lotr.wikia.com//wiki/Olw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfdc7)
Orchaldor,,,,Human,"Sometime before ,SA 799",,Male,,,,,,Ailinel,,,http://lotr.wikia.com//wiki/Orchaldor,,ObjectId(5cd99d4bde30eff6ebccfdc8)
Ondoher,,,,Human,TA 1787,TA 1944,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ondoher,,ObjectId(5cd99d4bde30eff6ebccfdc9)
Ori,,,,Dwarf,TA 2865,TA 2994,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ori,,ObjectId(5cd99d4bde30eff6ebccfdca)
Orodreth,,,,Elf,YT,"FA 495 ,Battle of Tumhalad",Male,,,Golden,,Nargothrond,Unnamed wife,,,http://lotr.wikia.com//wiki/Orodreth,,ObjectId(5cd99d4bde30eff6ebccfdcb)
Orodreth (Steward),,,,Human,TA 2576,TA 2685,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Orodreth_(Steward),,ObjectId(5cd99d4bde30eff6ebccfdcc)
Oromendil,,,,Human,SA 382,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Oromendil,,ObjectId(5cd99d4bde30eff6ebccfdcd)
Ohtar,,,,Human,"Late ,Second Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ohtar,,ObjectId(5cd99d4bde30eff6ebccfdce)
Ostoher,,,,Human,TA 222,TA 492,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ostoher,,ObjectId(5cd99d4bde30eff6ebccfdcf)
Orophin,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Orophin,,ObjectId(5cd99d4bde30eff6ebccfdd0)
Pelendur,,,,Human,TA 1879,TA 1998,Male,,,,,,,,,http://lotr.wikia.com//wiki/Pelendur,,ObjectId(5cd99d4bde30eff6ebccfdd1)
Mrs. Proudfoot,,,,Hobbit,"Late ,Third Age",,Female,,,,,,Odo Proudfoot,,,http://lotr.wikia.com//wiki/Mrs._Proudfoot,,ObjectId(5cd99d4bde30eff6ebccfdd2)
Pengolodh,,,,Elf,"Early ,First Age",,Male,,,,Tallest of the Elves of Gondolin,,,,,http://lotr.wikia.com//wiki/Pengolodh,,ObjectId(5cd99d4bde30eff6ebccfdd3)
Otho Sackville-Baggins,,,,Hobbit,TA 2910,TA 3012,Male,,,,"1.22m (4'0"")",,Lobelia Sackville-Baggins,,,http://lotr.wikia.com//wiki/Otho_Sackville-Baggins,,ObjectId(5cd99d4bde30eff6ebccfdd4)
Odo Proudfoot,,,,Hobbit,TA 2904,TA 3005,Male,,,Brown Gray (movie),,,Mrs. Proudfoot,,,http://lotr.wikia.com//wiki/Odo_Proudfoot,,ObjectId(5cd99d4bde30eff6ebccfdd5)
Radhruin,,,,Human,"Late ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Radhruin,,ObjectId(5cd99d4bde30eff6ebccfdd6)
Oropher,,,,Elf,First Age,SA 3434,Male,,,,,Woodland Realm,Unnamed wife,,,http://lotr.wikia.com//wiki/Oropher,,ObjectId(5cd99d4bde30eff6ebccfdd7)
Ragnir,,,,Human,"Late ,First Age",Late First Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ragnir,,ObjectId(5cd99d4bde30eff6ebccfdd8)
Ragnor,,,,Human,"Mid ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ragnor,,ObjectId(5cd99d4bde30eff6ebccfdd9)
Rían,,,,Human,FA 450,FA 473,Female,,,,,,Huor,,,http://lotr.wikia.com//wiki/R%C3%ADan,,ObjectId(5cd99d4bde30eff6ebccfdda)
Rían (Gondor),,,,Human,c. T.A. 2328,,Female,,,,,,Unnamed husband,,,http://lotr.wikia.com//wiki/R%C3%ADan_(Gondor),,ObjectId(5cd99d4bde30eff6ebccfddb)
Rowan Greenhand,,,,Hobbit,TA 2849,"Late ,Third Age",Male,,,,,Shire,Belba Baggins,,,http://lotr.wikia.com//wiki/Rowan_Greenhand,,ObjectId(5cd99d4bde30eff6ebccfddc)
Rudigar Bolger,,,,Hobbit,SR 1255,SR 1348,Male,,,,,Bree,Belba Baggins,,,http://lotr.wikia.com//wiki/Rudigar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfddd)
Rufus Burrows,,,,Hobbit,,,Male,,,,,,Asphodel Brandybuck,,,http://lotr.wikia.com//wiki/Rufus_Burrows,,ObjectId(5cd99d4bde30eff6ebccfdde)
Rómendacil I,,,,Human,TA 310,TA 541,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/R%C3%B3mendacil_I,,ObjectId(5cd99d4bde30eff6ebccfddf)
Lobelia Sackville-Baggins,,,,Hobbit,TA 2918,TA 3020,Female,,,,"1.17m (3'10"")",,Otho Sackville-Baggins,,,http://lotr.wikia.com//wiki/Lobelia_Sackville-Baggins,,ObjectId(5cd99d4bde30eff6ebccfde0)
